Period,#,Cum. net profit,Net profit,Gross profit,Gross loss,Commission,Cum. max. drawdown,Max. drawdown,% Win,Avg. trade,Avg. winner,Avg. loser,Lrg. winner,Lrg. loser,MTR,Avg. MAE,Avg. MFE,Avg. ETD,% Trade,
4/7/2026,2,($147.05),$23.70,$25.60,($1.90),$3.80,($147.05),($1.90),50.00%,$11.85,$25.60,($1.90),$25.60,($1.90),0.00,$0.00,$13.75,$1.90,0.84%,
4/8/2026,2,($200.85),($53.80),$0.00,($53.80),$3.80,($200.85),($53.80),0.00%,($26.90),$0.00,($26.90),$0.00,($26.90),5.00,$25.00,$7.50,$34.40,0.84%,
4/13/2026,2,($200.90),($0.05),$25.60,($25.65),$3.80,($226.50),($25.65),50.00%,($0.02),$25.60,($25.65),$25.60,($25.65),195.00,$15.63,$21.25,$21.28,0.84%,
4/15/2026,1,($210.30),($9.40),$0.00,($9.40),$1.90,($210.30),($9.40),0.00%,($9.40),$0.00,($9.40),$0.00,($9.40),15.00,$7.50,$23.75,$33.15,0.42%,
4/16/2026,1,($225.95),($15.65),$0.00,($15.65),$1.90,($225.95),($15.65),0.00%,($15.65),$0.00,($15.65),$0.00,($15.65),5.00,$13.75,$2.50,$18.15,0.42%,
4/17/2026,1,($197.85),$28.10,$28.10,$0.00,$1.90,($197.85),$0.00,100.00%,$28.10,$28.10,$0.00,$28.10,$0.00,0.00,$0.00,$30.00,$1.90,0.42%,
4/20/2026,3,($188.55),$9.30,$25.60,($16.30),$5.70,($212.25),($14.40),33.33%,$3.10,$25.60,($8.15),$25.60,($14.40),5.00,$9.17,$19.58,$16.48,1.27%,
4/21/2026,3,($181.75),$6.80,$18.10,($11.30),$5.70,($197.95),($9.40),33.33%,$2.27,$18.10,($5.65),$18.10,($9.40),5.00,$2.50,$9.58,$7.32,1.27%,
4/23/2026,1,($199.90),($18.15),$0.00,($18.15),$1.90,($199.90),($18.15),0.00%,($18.15),$0.00,($18.15),$0.00,($18.15),0.00,$16.25,$0.00,$18.15,0.42%,
4/24/2026,2,($151.20),$48.70,$48.70,$0.00,$3.80,($176.80),$0.00,100.00%,$24.35,$24.35,$0.00,$25.60,$0.00,5.00,$2.50,$31.88,$7.53,0.84%,
5/1/2026,5,($138.20),$13.00,$51.20,($38.20),$9.50,($185.60),($34.40),40.00%,$2.60,$25.60,($12.73),$26.85,($34.40),35.00,$6.50,$11.00,$8.40,2.11%,
5/4/2026,1,($156.35),($18.15),$0.00,($18.15),$1.90,($156.35),($18.15),0.00%,($18.15),$0.00,($18.15),$0.00,($18.15),0.00,$16.25,$0.00,$18.15,0.42%,
5/6/2026,1,($120.75),$35.60,$35.60,$0.00,$1.90,($120.75),$0.00,100.00%,$35.60,$35.60,$0.00,$35.60,$0.00,15.00,$8.75,$37.50,$1.90,0.42%,
5/12/2026,4,($165.85),($45.10),$15.60,($60.70),$7.60,($165.85),($60.70),25.00%,($11.28),$15.60,($20.23),$15.60,($24.40),80.00,$15.94,$4.38,$15.65,1.69%,
5/18/2026,2,($232.15),($66.30),$0.00,($66.30),$3.80,($232.15),($66.30),0.00%,($33.15),$0.00,($33.15),$0.00,($33.15),0.00,$31.25,$0.00,$33.15,0.84%,
5/19/2026,1,($237.80),($5.65),$0.00,($5.65),$1.90,($237.80),($5.65),0.00%,($5.65),$0.00,($5.65),$0.00,($5.65),0.00,$3.75,$0.00,$5.65,0.42%,
5/28/2026,1,($252.20),($14.40),$0.00,($14.40),$1.90,($252.20),($14.40),0.00%,($14.40),$0.00,($14.40),$0.00,($14.40),5.00,$12.50,$8.75,$23.15,0.42%,
5/29/2026,2,($256.00),($3.80),$0.00,($3.80),$3.80,($256.00),($3.80),0.00%,($1.90),$0.00,($1.90),$0.00,($1.90),15.00,$26.25,$17.50,$19.40,0.84%,
6/1/2026,2,($304.80),($48.80),$0.00,($48.80),$3.80,($304.80),($48.80),0.00%,($24.40),$0.00,($24.40),$0.00,($24.40),0.00,$22.50,$0.00,$24.40,0.84%,
6/3/2026,2,($306.10),($1.30),$0.00,($1.30),$3.80,($306.10),($1.30),0.00%,($0.65),$0.00,($0.65),$0.00,($0.65),10.00,$10.00,$28.75,$29.40,0.84%,
6/5/2026,1,($321.75),($15.65),$0.00,($15.65),$1.90,($321.75),($15.65),0.00%,($15.65),$0.00,($15.65),$0.00,($15.65),0.00,$13.75,$0.00,$15.65,0.42%,
6/8/2026,4,($300.60),$21.15,$35.60,($14.45),$7.60,($332.40),($10.65),25.00%,$5.29,$35.60,($4.82),$35.60,($10.65),25.00,$9.06,$23.75,$18.46,1.69%,
6/9/2026,1,($337.50),($36.90),$0.00,($36.90),$1.90,($337.50),($36.90),0.00%,($36.90),$0.00,($36.90),$0.00,($36.90),0.00,$35.00,$0.00,$36.90,0.42%,
6/10/2026,2,($347.55),($10.05),$30.60,($40.65),$3.80,($378.15),($40.65),50.00%,($5.03),$30.60,($40.65),$30.60,($40.65),300.00,$19.38,$16.25,$21.28,0.84%,
6/11/2026,2,($433.85),($86.30),$0.00,($86.30),$3.80,($433.85),($86.30),0.00%,($43.15),$0.00,($43.15),$0.00,($43.15),5.00,$41.25,$45.00,$88.15,0.84%,
6/23/2026,3,($414.55),$19.30,$42.45,($23.15),$5.70,($417.00),($23.15),66.67%,$6.43,$21.23,($23.15),$25.60,($23.15),0.00,$7.08,$15.42,$8.98,1.27%,
6/24/2026,2,($359.60),$54.95,$54.95,$0.00,$3.80,($397.70),$0.00,100.00%,$27.48,$27.48,$0.00,$38.10,$0.00,5.00,$6.88,$29.38,$1.90,0.84%,
6/25/2026,2,($515.90),($156.30),$0.00,($156.30),$3.80,($515.90),($156.30),0.00%,($78.15),$0.00,($78.15),$0.00,($78.15),0.00,$76.25,$0.00,$78.15,0.84%,
7/2/2026,1,($537.80),($21.90),$0.00,($21.90),$1.90,($537.80),($21.90),0.00%,($21.90),$0.00,($21.90),$0.00,($21.90),0.00,$20.00,$0.00,$21.90,0.42%,
